id,i,name_tokens,ingredient_tokens,steps_tokens,techniques,calorie_level,ingredient_ids
293081,40362,"[40480, 7304, 21453, 488, 32699, 35845, 523, 38450, 5082, 40481]","[[32699, 35845, 1427], [10444, 6020], [15022, 796, 964], [21453], [14389], [7304, 7524]]","[40480, 40482, 1082, 21453, 5657, 666, 2695, 498, 481, 38450, 5082, 488, 4846, 7304, 5657, 40478, 40482, 2525, 6020, 500, 246, 1719, 28058, 488, 4846, 34042, 488, 15022, 40478, 40482, 2507, 504, 589, 2000, 240, 13361, 246, 1919, 6388, 240, 488, 10553, 485, 481, 38450, 5082, 40478, 40482, 8240, 481, 7304, 7524, 522, 3442, 715, 589, 240, 2454, 240, 488, 5539, 504, 954, 562, 287, 260, 292, 1808, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[713, 5006, 3203, 5010, 150, 159]"
394580,86241,"[40480, 1122, 8861, 2507, 5339, 40481]","[[11468, 1353], [1122, 260, 8861, 22245], [8780], [30565], [589, 260, 4001, 17918], [4613, 2832, 1431, 523], [6953]]","[40480, 40482, 500, 246, 1719, 5024, 240, 8240, 481, 11468, 1353, 715, 25916, 40478, 40482, 9467, 500, 8780, 488, 30565, 40478, 40482, 851, 1229, 1073, 9019, 2839, 911, 485, 32548, 260, 36782, 9378, 240, 9822, 6641, 40478, 40482, 500, 1007, 5024, 240, 23667, 281, 260, 277, 278, 280, 7420, 498, 481, 17918, 240, 1431, 523, 488, 6953, 40478, 40482, 2523, 500, 7, 491, 9019, 1073, 16343, 40478, 40482, 9467, 500, 1046, 5040, 17918, 485, 1983, 246, 2022, 17532, 40478, 40482, 1300, 504, 485, 1874, 7086, 3334, 40478, 40482, 3916, 1634, 1073, 3866, 488, 20392, 240, 670, 287, 485, 292, 1571, 40478, 40482, 1082, 500, 246, 35050, 5024, 240, 1927, 1098, 485, 14218, 481, 1495, 40478, 40482, 2454, 488, 851, 3779, 500, 246, 2107, 1082, 1073, 10764, 240, 670, 277, 2088, 40478, 40482, 5500, 17532, 714, 40478, 40482, 1300, 1557, 4309, 1874, 7086, 3334, 40478, 40482, 18830, 500, 1444, 40478, 40482, 3852, 666, 36396, 40478, 40482, 1082, 500, 280, 35050, 291, 256, 272, 284, 244, 16594, 18845, 40478, 40482, 2454, 488, 851, 3779, 1073, 10764, 240, 670, 6828, 1571, 40478, 40482, 19007, 491, 43, 22328, 562, 14635, 485, 11083, 1571, 522, 1073, 3746, 2507, 40478, 40482, 6018, 617, 18845, 485, 6859, 8967, 485, 2548, 40478, 40481]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[673, 5000, 840, 4807, 63, 7956, 6270]"
246991,133569,"[40480, 246, 4366, 500, 566, 40481]","[[4334, 1430, 11434], [4087, 878, 940, 21453], [22942, 8361], [16954, 10734], [4932, 32184], [6953, 488, 11332], [30645, 4785, 6821]]","[40480, 40482, 14057, 32184, 500, 31331, 1353, 40478, 40482, 9933, 40478, 40482, 2507, 1430, 11434, 556, 21453, 1073, 1342, 9649, 40478, 40482, 9933, 16829, 4739, 645, 3638, 40478, 40482, 4846, 22942, 8361, 240, 6913, 246, 909, 1872, 240, 674, 4846, 16954, 10734, 40478, 40482, 7033, 485, 3301, 556, 6953, 488, 11332, 240, 7483, 485, 32093, 40478, 40482, 9467, 500, 9649, 32184, 488, 1444, 498, 481, 6821, 240, 13733, 862, 40478, 40482, 6018, 617, 2525, 240, 35009, 5040, 6821, 504, 1495, 488, 2454, 620, 6821, 812, 9423, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[4189, 3891, 1329, 7233, 2518, 6276, 1168]"
459011,52390,"[40480, 481, 29998, 252, 978, 7395, 25084, 556, 1454, 5317, 18929, 40481]","[[8780], [6444], [6812], [15000], [17918], [6953], [20613, 8361], [978, 2044, 17736], [23618, 6444], [1454, 5317], [5940]]","[40480, 40482, 729, 2525, 10906, 485, 43, 8393, 40478, 40482, 7933, 292, 272, 292, 6847, 556, 12313, 535, 4505, 522, 4309, 14218, 488, 17918, 507, 40478, 40482, 500, 246, 1220, 5024, 240, 7087, 20613, 8361, 240, 2044, 17736, 488, 277, 1901, 9082, 498, 481, 15000, 485, 1983, 246, 16064, 40478, 40482, 1233, 2913, 40478, 40482, 556, 531, 7641, 34062, 240, 4914, 8780, 488, 6444, 5802, 1092, 488, 12924, 40478, 40482, 4846, 6812, 240, 566, 491, 246, 720, 240, 674, 4846, 1420, 1901, 9082, 498, 15000, 40478, 40482, 556, 34062, 504, 11868, 240, 2523, 500, 20613, 16064, 40478, 40482, 4846, 17918, 488, 6953, 240, 488, 7087, 668, 1073, 9126, 40478, 40482, 2933, 500, 6847, 40478, 40482, 19007, 562, 10353, 260, 6828, 1571, 240, 522, 1073, 32461, 13908, 500, 2732, 2323, 551, 2698, 40478, 40482, 2548, 781, 23948, 40478, 40482, 23948, 271, 40478, 40482, 9423, 481, 1454, 5317, 5175, 485, 481, 6874, 504, 704, 7720, 488, 1233, 507, 2913, 40478, 40482, 4914, 8780, 556, 34062, 5802, 12924, 40478, 40482, 4846, 15000, 40478, 40482, 1547, 7087, 500, 23618, 6444, 240, 674, 1454, 5317, 40478, 40482, 4846, 1046, 5940, 485, 2456, 10114, 30173, 40478, 40482, 9379, 481, 1495, 498, 481, 25084, 488, 674, 2830, 688, 617, 1473, 267, 600, 761, 620, 870, 512, 1497, 538, 823, 485, 3249, 688, 40478, 40482, 249, 1178, 1288, 500, 481, 33687, 912, 249, 825, 600, 3301, 1432, 1705, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[840, 6906, 2499, 7449, 2683, 6270, 1589, 5947, 5695, 7726, 4717]"
230013,138960,"[40480, 4240, 7304, 15341, 2169, 5409, 36, 13, 241, 1203, 40481]","[[8780], [2507, 6444], [13249, 7524], [6812], [589, 260, 4001, 17918], [1657, 17004, 17918], [15473, 8361], [6953], [15341], [21447, 7869], [10848], [8828, 16361], [5940], [1143, 7406], [14389], [4017], [15341, 6444]]","[40480, 40482, 729, 2525, 10906, 485, 43, 8393, 40478, 40482, 2523, 8780, 488, 2507, 6444, 500, 1719, 5024, 1073, 12924, 240, 4846, 13249, 7524, 296, 6812, 296, 2523, 862, 40478, 40482, 500, 1007, 5024, 240, 9467, 1281, 481, 1874, 1437, 240, 15473, 8361, 240, 6953, 488, 21298, 40478, 40482, 6748, 17918, 9019, 666, 2507, 6444, 9019, 240, 4846, 5940, 296, 1143, 7406, 40478, 40482, 587, 538, 1496, 2523, 40478, 40482, 8240, 22306, 666, 246, 35050, 291, 272, 7877, 20440, 1983, 6847, 296, 9154, 14389, 504, 1495, 240, 4127, 688, 714, 5140, 666, 481, 22306, 40478, 40482, 19007, 277, 2088, 674, 20761, 556, 2107, 4017, 296, 35009, 556, 15341, 6444, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[840, 800, 4253, 2499, 63, 7887, 332, 6270, 1511, 4964, 3248, 68, 4717, 5825, 150, 3723, 1529]"
73219,139333,"[40480, 14919, 2032, 977, 510, 1672, 4205, 40481]","[[5940], [1444, 260, 488, 260, 1444, 4914], [15000, 4087, 21278, 7087], [2507, 6444]]","[40480, 40482, 8240, 5940, 488, 4914, 666, 246, 13733, 5024, 488, 4846, 21278, 7087, 40478, 40482, 29369, 1073, 2314, 20559, 40478, 40482, 8240, 666, 246, 1719, 15473, 5465, 488, 35009, 556, 2507, 6444, 40478, 40482, 903, 1107, 1073, 6444, 25405, 488, 12258, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",0,"[4717, 3590, 7479, 800]"
13091,165784,"[40480, 6836, 252, 5500, 5024, 5409, 40481]","[[3484, 5409, 7087], [6812], [6020], [1353], [30878, 13436], [37088, 22422], [14762, 21940, 500, 17881], [831, 621, 573, 10538, 31066], [27593], [6198, 4914], [4087, 15000, 21278], [501, 29702], [6444, 755, 4914, 27964], [5317, 17881]]","[40480, 40482, 13884, 1220, 4289, 498, 27593, 240, 31066, 240, 7327, 488, 755, 4914, 3585, 562, 481, 1495, 40478, 40482, 19007, 5409, 5175, 485, 7720, 6054, 40478, 40482, 925, 15000, 21278, 240, 5463, 5802, 1388, 40478, 40482, 4264, 5409, 666, 909, 3585, 240, 1233, 2913, 40478, 40482, 645, 512, 587, 538, 729, 925, 512, 5409, 240, 925, 881, 507, 544, 2055, 16000, 781, 1457, 616, 10601, 40478, 40482, 500, 246, 5500, 5024, 522, 1719, 6255, 5024, 8556, 16126, 557, 9964, 40478, 40482, 2808, 8556, 498, 21278, 485, 2454, 2695, 498, 5024, 40478, 40482, 1220, 8556, 498, 5409, 3585, 40478, 40482, 669, 33700, 23982, 240, 587, 538, 9933, 40478, 40482, 512, 812, 1529, 775, 19656, 17881, 491, 872, 40478, 40482, 1220, 4289, 498, 7327, 40478, 40482, 8556, 498, 6198, 4914, 40478, 40482, 8556, 498, 6945, 755, 4914, 15487, 3585, 40478, 40482, 2494, 481, 10362, 1073, 704, 1256, 556, 6647, 488, 21278, 40478, 40482, 1598, 604, 803, 5409, 999, 715, 40478, 40482, 8240, 5040, 17881, 715, 1009, 8556, 498, 5409, 40478, 40482, 1495, 556, 5040, 6198, 4914, 240, 6647, 240, 7327, 488, 755, 4914, 15487, 3585, 40478, 40482, 20761, 5317, 10734, 715, 481, 1495, 40478, 40482, 5463, 5802, 1011, 485, 4103, 40478, 40482, 1432, 669, 1705, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,"[912, 2499, 4987, 7655, 5410, 4533, 5235, 4570, 342, 7702, 3910, 70, 6914, 1447]"
417439,3346,"[40480, 2056, 3635, 24106, 9021, 40481]","[[2056, 3635, 4619], [24106, 17918], [589, 260, 4001, 17918], [15473, 8361], [6953], [5598, 6444], [2274, 10841, 6020], [8780], [8441], [15000]]","[40480, 40482, 729, 2525, 10906, 485, 43, 8393, 9378, 40478, 40482, 23667, 17918, 240, 15473, 8361, 488, 6953, 488, 6176, 498, 481, 867, 505, 20, 6382, 2056, 3635, 4619, 500, 246, 5024, 40478, 40482, 500, 246, 13733, 5024, 12172, 8780, 240, 6020, 240, 6444, 522, 4017, 862, 702, 828, 522, 556, 531, 7641, 34062, 40478, 40482, 4846, 8441, 488, 15000, 488, 2523, 1073, 3866, 40478, 40482, 4846, 481, 17918, 9019, 8297, 1073, 679, 16126, 640, 862, 16343, 40478, 40482, 2961, 1809, 500, 481, 9188, 562, 531, 2088, 40478, 40482, 14218, 15473, 5070, 40478, 40482, 2869, 566, 13020, 9082, 19543, 867, 4550, 2951, 504, 15473, 5070, 40478, 40482, 3336, 531, 24106, 14557, 500, 2732, 498, 11463, 40478, 40482, 19007, 562, 7648, 1571, 1073, 1092, 3746, 2507, 40478, 40482, 2548, 488, 4103, 40478, 40481]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[3459, 79, 63, 332, 6270, 5893, 1043, 840, 2499, 7449]"
304220,2287,"[40480, 6444, 5776, 22230, 488, 3066, 795, 9540, 40481]","[[6444, 5776, 22230], [3066, 2102], [955, 964], [4019, 9080, 10444, 6020], [24329, 26285], [4017], [3319, 6949, 6953], [11332]]","[40480, 40482, 2030, 11868, 5082, 498, 31331, 1353, 485, 246, 14057, 40478, 40482, 5373, 607, 22075, 1073, 668, 4941, 488, 2512, 2056, 240, 670, 281, 1571, 40478, 40482, 9933, 488, 10553, 485, 246, 5024, 498, 755, 1353, 485, 2548, 40478, 40482, 9933, 862, 40478, 40482, 500, 246, 1719, 9540, 5024, 240, 23667, 22075, 240, 3066, 2102, 488, 955, 964, 40478, 40482, 562, 1951, 3792, 856, 3219, 271, 500, 246, 1220, 7932, 522, 10807, 556, 246, 2240, 260, 8053, 3403, 240, 3033, 1281, 6020, 240, 26285, 240, 4017, 240, 6953, 240, 488, 11332, 40478, 40482, 8263, 9540, 556, 1951, 3792, 856, 3219, 488, 4103, 40478, 40481]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,"[6916, 5812, 1372, 5006, 1504, 3723, 4096, 5319]"
140072,117974,"[40480, 7304, 571, 8791, 7056, 40481]","[[8780], [2507, 6444], [8441], [589, 260, 4001, 17918], [1430, 501, 29702], [15473, 8361], [14389], [992, 1492, 501, 29702], [6444], [1444, 260, 488, 260, 1444]]","[40480, 40482, 729, 2525, 10906, 485, 12568, 46, 263, 40478, 40482, 1584, 246, 10361, 30378, 2738, 5409, 6847, 556, 14653, 240, 14218, 40478, 40482, 485, 925, 19093, 271, 4914, 8780, 488, 6444, 40478, 40482, 4846, 8441, 240, 7087, 485, 23667, 40478, 40482, 4846, 17918, 240, 1430, 501, 29702, 488, 15473, 8361, 240, 1503, 7087, 666, 22306, 40478, 40482, 2933, 22306, 504, 2695, 498, 481, 3572, 6847, 40478, 40482, 15258, 240, 5820, 488, 8654, 14389, 40478, 40482, 2454, 481, 3334, 498, 481, 22306, 556, 7304, 15786, 40478, 40482, 19007, 500, 481, 729, 6720, 10906, 562, 7648, 260, 7379, 1571, 40478, 40482, 1000, 481, 7056, 544, 15473, 240, 6672, 481, 31757, 271, 23667, 589, 31757, 16126, 500, 246, 4835, 39587, 40478, 40482, 2525, 481, 9019, 2327, 485, 11468, 1579, 240, 9822, 6641, 40478, 40482, 6018, 617, 2525, 557, 1443, 557, 481, 929, 1026, 12258, 4464, 40478, 40482, 587, 595, 14057, 267, 40478, 40482, 921, 481, 1444, 260, 12187, 7056, 551, 498, 481, 10906, 488, 1503, 2933, 481, 1845, 31757, 504, 1495, 498, 507, 40478, 40482, 1082, 481, 7056, 651, 500, 481, 10906, 488, 3423, 15473, 562, 670, 7379, 1571, 240, 522, 1073, 481, 31757, 544, 3746, 2507, 40478, 40482, 851, 2548, 2055, 781, 9117, 617, 6847, 40478, 40482, 512, 759, 1359, 1529, 246, 10361, 30378, 7056, 5465, 488, 4103, 481, 7056, 500, 987, 5465, 40478, 40481]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[840, 800, 2499, 63, 3479, 332, 150, 4449, 6906, 3589]"
